-------------------
name = red_force_hidden
	|_name = shanks_legendary
			|_name:buggy_common
		|_name = nami_special
			|_name:nami_common
			|_name:nami_common
			|_name:nami_common
	|_name = capone_special
		|_name = fukuro_uncommon
			|_name:swordsman_common
			|_name:swordsman_common
		|_name:gunman_common
		|_name:buggy_common
	|_name = pirate_ship

-------------------
name = carrot_hidden
	|_name = chopper_horn_point_rare
		|_name = chopper_rumble_special
			|_name = chopper_uncommon
				|_name:chopper_common
				|_name:chopper_common
			|_name = inazuma_uncommon
				|_name:sanji_common
				|_name:zoro_common
			|_name:swordsman_common
		|_name = helmeppo_special
			|_name = brook_uncommon
				|_name:zoro_common
				|_name:chopper_common
			|_name:zoro_common
			|_name:sanji_common
		|_name = law_special
			|_name = bepo_uncommon
				|_name:chopper_common
				|_name:luffy_common
			|_name = tashigi_uncommon
				|_name:swordsman_common
				|_name:gunman_common
			|_name:buggy_common
	|_name = enel_special
		|_name = sogeking_uncommon
			|_name:usopp_common
			|_name:usopp_common
		|_name = bepo_uncommon
			|_name:chopper_common
			|_name:luffy_common
		|_name:sanji_common
	|_name = absalom_special
		|_name:zombie_uncommon
		|_name:zombie_uncommon
		|_name:zombie_uncommon
		|_name:nami_common
	|_name = absalom_special
		|_name:zombie_uncommon
		|_name:zombie_uncommon
		|_name:zombie_uncommon
		|_name:nami_common
	|_name = rayleigh_hidden_rare

